2026-02-22T16:40:01.1605708;Alex;BOT;X;saved
2026-02-22T16:40:44.5871228;Alex;BOT;X;saved
2026-02-22T16:41:59.9234341;Gori;Alex;X;saved
2026-02-22T16:43:14.7044296;Alex;Gori;D;saved
2026-02-22T17:50:49.326005;Alex;Gori;O;saved
2026-02-22T18:09:32.3423393;Gori;Spieler;X;saved
2026-02-22T18:09:39.2967174;Spieler;Alex;O;saved
2026-02-22T18:10:02.5323086;Gori;Alex;O;saved
2026-02-22T18:11:13.8203491;Alex;BOT;X;saved
2026-02-22T18:12:59.515042;Spieler;Alex;O;saved
2026-02-22T18:36:45.4652223;Spieler;Alex;O;0:2:X,0:1:O
2026-02-22T18:37:29.9928373;Gori;BOT;X;0:1:X
2026-02-22T18:37:46.9759857;Alex;Spieler;X;0:0:X,0:2:O,1:1:X,0:1:O,2:1:X,1:2:O,2:2:X
2026-02-22T18:39:15.9339497;Gori;BOT;X;0:1:X
2026-02-22T18:39:47.0615993;Gori;BOT;X;0:1:X
2026-02-22T18:41:42.7721981;Alex;Gori;X;0:0:X,0:2:O,0:1:X,1:2:O,1:0:X,1:1:O,2:0:X
2026-02-22T18:47:42.7394531;Alex;Gori;X;0:0:X,0:1:O,0:2:X,1:2:O,1:1:X,2:2:O,2:0:X
2026-02-22T18:48:26.0249295;Alex;Gori;O;0:0:X,1:2:O
2026-02-22T18:48:42.9260251;Alex;Spieler;O;1:2:X,0:2:O
2026-02-22T18:49:19.8955776;Gori;BOT;X;0:1:X
2026-02-22T19:01:25.9987794;Alex;BOT;D;0:0:X,1:1:O,0:2:X,0:1:O,2:1:X,2:2:O,1:2:X,2:0:O,1:0:X
2026-02-22T19:01:52.2057635;Alex;BOT;O;0:2:X,1:1:O,0:1:X,0:0:O,1:0:X,2:2:O
2026-02-22T19:02:15.8792279;Alex;BOT;O;0:1:X,1:1:O,2:1:X,2:2:O,1:2:X,0:0:O
2026-02-22T19:03:59.9563328;Alex;BOT;O;0:0:X,1:1:O,0:2:X,0:1:O,1:2:X,2:1:O
2026-02-22T19:04:56.0443596;Alex;Gori;X;0:0:X,0:1:O,1:0:X,2:0:O,1:1:X,0:2:O,1:2:X
2026-02-22T19:05:53.8206859;Alex;Gori;X;0:0:X,1:1:O,2:2:X
2026-02-22T19:07:56.5473802;Alex;Spieler;O;0:0:X,1:1:O,2:2:X,0:2:O,0:1:X,2:0:O
2026-02-22T19:09:00.9586636;Alex;Gori;X;0:0:X,1:2:O,0:2:X,1:1:O,0:1:X
2026-02-22T19:09:04.3228312;Spieler;Spieler;O;1:1:X,0:0:O,1:2:X,0:1:O,2:1:X,0:2:O
2026-02-22T19:09:21.3401622;Alex;Spieler;O;
2026-02-22T19:30:24.7169051;Alex;Spieler;X;0:0:X,1:2:O,0:1:X,2:2:O,0:2:X
2026-02-22T19:30:34.6331609;Gori;Spieler;X;0:1:X,1:1:O,0:0:X,1:2:O,1:0:X,2:1:O,0:2:X
2026-02-22T19:30:51.668238;Alex;Gori;O;
2026-02-22T19:39:02.5102465;Alex;Spieler;X;0:2:X,1:2:O,0:0:X,1:1:O,0:1:X
